hospital_id,hospital_name,state,district,city,latitude,longitude,ownership_type,hospital_level,total_beds,icu_beds,ventilators,cardiac_unit,trauma_unit,burn_unit,current_icu_load_percent,emergency_load_score,last_updated
718,Sushrut Hospital,Maharashtra,Mumbai,Mumbai,19.2352336,72.8466511,Government,Secondary,167,17,13,No,Yes,Yes,34,0.82,2025-12-16
719,matoshri umabai RANE hospital,Maharashtra,Mumbai,Mumbai,19.1372345,72.8564975,Government,Secondary,347,34,24,Yes,No,No,43,0.53,2025-12-16
720,Shantiniketan Hospital,Maharashtra,Mumbai,Mumbai,19.0952772,72.9137056,Trust,Secondary,197,20,16,No,No,No,32,0.72,2025-12-16
721,Dalvi Nursing Home,Maharashtra,Mumbai,Mumbai,19.0526857,72.8732117,Private,Tertiary,600,97,70,Yes,Yes,No,55,0.68,2025-12-16
722,Oscar Hospital,Maharashtra,Mumbai,Mumbai,19.2034924,72.8279212,Government,Primary,39,1,0,No,Yes,No,81,0.86,2025-12-16
723,Sunrise Hospital,Maharashtra,Mumbai,Mumbai,19.1463034,72.9369932,Private,Primary,58,1,0,Yes,No,No,94,0.17,2025-12-16
724,Ashirwad Critical Care Unit & Multi speciality,Maharashtra,Mumbai,Mumbai,19.1710723,72.9586105,Private,Secondary,367,41,26,No,Yes,No,70,0.49,2025-12-16
725,Zen Hospital,Maharashtra,Mumbai,Mumbai,19.1721231,72.9508348,Government,Secondary,270,27,18,No,Yes,No,33,0.68,2025-12-16
726,Akurli Maternity Home,Maharashtra,Mumbai,Mumbai,19.2076635,72.877233,Government,Primary,90,3,2,Yes,No,No,55,0.48,2025-12-16
727,ESIC Hospital,Maharashtra,Mumbai,Mumbai,19.2071803,72.8769761,Private,Secondary,238,27,20,No,Yes,No,48,0.93,2025-12-16
728,Naigaon Municipal Maternity Home,Maharashtra,Mumbai,Mumbai,19.0115774,72.8460141,Government,Primary,77,1,0,Yes,No,No,81,0.92,2025-12-16
729,BMC arogya Kendra,Maharashtra,Mumbai,Mumbai,19.1304842,72.8720801,Government,Secondary,243,26,15,No,No,No,32,0.84,2025-12-16
730,Axon Hospital & Dialysis Center,Maharashtra,Mumbai,Mumbai,19.1053464,72.887139,Trust,Secondary,242,28,19,No,No,No,37,0.2,2025-12-16
731,Surya Hospital,Maharashtra,Mumbai,Mumbai,19.0899538,72.8376684,Private,Primary,33,1,0,No,Yes,Yes,72,0.24,2025-12-16
732,Babasaheb Gawde Hospital,Maharashtra,Mumbai,Mumbai,19.0997223,72.8463493,Government,Tertiary,1189,197,165,Yes,Yes,No,30,0.59,2025-12-16
733,"Government Hospital, Malvani",Maharashtra,Mumbai,Mumbai,19.188038,72.8179488,Government,Secondary,255,29,17,Yes,Yes,No,62,0.4,2025-12-16
735,Dr Mudit Khanna,Maharashtra,Mumbai,Mumbai,18.9752297,72.8237596,Government,Tertiary,975,147,118,No,Yes,No,78,0.78,2025-12-16
736,S.N. Hospital,Maharashtra,Mumbai,Mumbai,19.062128,72.921592,Trust,Primary,96,2,1,Yes,No,Yes,55,0.28,2025-12-16
737,Anant Seva Hospital,Maharashtra,Mumbai,Mumbai,19.1773323,72.9675883,Private,Primary,66,2,1,No,Yes,No,87,0.83,2025-12-16
738,Gomathi Eye & Cornea Centre,Maharashtra,Mumbai,Mumbai,19.1673177,72.9632883,Private,Secondary,340,34,26,Yes,No,No,60,0.79,2025-12-16
739,Axis Orthopaedic Hospital,Maharashtra,Mumbai,Mumbai,19.1362893,72.8273781,Trust,Secondary,176,16,10,No,No,Yes,69,0.99,2025-12-16
740,AL Kaleskar Hospital,Maharashtra,Mumbai,Mumbai,19.136067,72.8122383,Private,Secondary,367,37,26,No,Yes,No,72,0.36,2025-12-16
741,Bhabha Hospital,Maharashtra,Mumbai,Mumbai,19.0708455,72.878112,Private,Primary,30,0,0,Yes,No,No,65,0.31,2025-12-16
742,Navkar Skin Hair And Laser Clinic,Maharashtra,Mumbai,Mumbai,19.1908993,72.8335458,Government,Primary,47,1,0,Yes,No,Yes,69,0.38,2025-12-16
743,Thyrocare Aarogyam Center - Dadar West,Maharashtra,Mumbai,Mumbai,19.0207825,72.8419304,Government,Tertiary,1200,262,197,Yes,Yes,No,82,0.9,2025-12-16
744,Clear Vision Eye Care,Maharashtra,Mumbai,Mumbai,19.1469381,72.829265,Private,Secondary,275,28,22,Yes,Yes,Yes,34,0.75,2025-12-16
745,Satvic Hospital,Maharashtra,Mumbai,Mumbai,19.0519425,72.894684,Trust,Secondary,201,19,14,Yes,Yes,Yes,69,0.17,2025-12-16
746,Kokilaben Dhirubhai Ambani Hospital,Maharashtra,Mumbai,Mumbai,19.131246,72.824559,Trust,Primary,71,2,1,Yes,Yes,Yes,53,0.6,2025-12-16
747,Fauziya hospital,Maharashtra,Mumbai,Mumbai,19.0627787,72.8731767,Private,Secondary,259,28,19,No,Yes,Yes,75,0.13,2025-12-16
748,bhabha hospital,Maharashtra,Mumbai,Mumbai,19.0708724,72.8781127,Government,Secondary,362,40,30,Yes,Yes,No,30,0.82,2025-12-16
749,Alphine life solutions general hospital,Maharashtra,Mumbai,Mumbai,19.072649,72.8710522,Trust,Primary,36,0,0,Yes,No,Yes,31,0.49,2025-12-16
750,Dalvi nursing home,Maharashtra,Mumbai,Mumbai,19.0527267,72.8732182,Trust,Secondary,287,30,23,Yes,No,Yes,41,0.7,2025-12-16
751,Prathamesh hospital,Maharashtra,Mumbai,Mumbai,19.0528,72.8749595,Private,Primary,69,1,0,Yes,Yes,No,59,0.23,2025-12-16
752,Brihanmumbai mucipality Hospital,Maharashtra,Mumbai,Mumbai,19.0532885,72.8751862,Private,Primary,89,3,2,No,No,Yes,61,0.77,2025-12-16
753,Santrupti hospital,Maharashtra,Mumbai,Mumbai,19.0532245,72.876812,Government,Tertiary,782,151,114,Yes,No,No,72,0.5,2025-12-16
754,Dr.Sanjay sonar laparoscopy and scopy centre,Maharashtra,Mumbai,Mumbai,19.0590301,72.8973108,Government,Secondary,249,29,21,Yes,No,No,50,0.8,2025-12-16
755,Amita Patil Nursing Home,Maharashtra,Mumbai,Mumbai,19.0622534,72.8997239,Government,Primary,49,2,1,Yes,No,Yes,92,0.35,2025-12-16
756,Chandra maternity Hospital,Maharashtra,Mumbai,Mumbai,19.0422679,72.8941536,Government,Primary,40,1,0,No,No,No,71,0.91,2025-12-16
760,Nayak medicare -chembur,Maharashtra,Mumbai,Mumbai,19.0456806,72.9024989,Private,Primary,70,2,1,Yes,No,Yes,38,0.48,2025-12-16
761,Inlaska Hospital,Maharashtra,Mumbai,Mumbai,19.0466542,72.8964139,Private,Primary,73,1,0,Yes,Yes,No,54,0.53,2025-12-16
762,Nursing Home,Maharashtra,Mumbai,Mumbai,19.1108158,72.8690282,Government,Secondary,299,25,15,No,Yes,No,30,0.73,2025-12-16
763,KLS Memorial Hospital,Maharashtra,Mumbai,Mumbai,19.1079187,72.8408635,Government,Primary,87,3,2,No,No,No,74,0.78,2025-12-16
764,Noble chemist,Maharashtra,Mumbai,Mumbai,19.0771201,72.9022577,Private,Tertiary,835,184,135,No,No,Yes,32,0.56,2025-12-16
765,Navjeevan,Maharashtra,Mumbai,Mumbai,19.2204634,72.8583907,Private,Tertiary,953,196,122,Yes,Yes,No,84,0.19,2025-12-16
766,battlefield,Maharashtra,Mumbai,Mumbai,19.2532453,72.8502973,Trust,Primary,76,2,1,Yes,Yes,No,78,0.13,2025-12-16
767,tirupathi metarnal and general hospital,Maharashtra,Mumbai,Mumbai,19.2066191,72.8650557,Government,Secondary,373,37,26,No,Yes,No,35,0.35,2025-12-16
768,dr.anjali's hospital,Maharashtra,Mumbai,Mumbai,19.1245264,72.9160425,Trust,Secondary,323,33,22,Yes,No,No,83,0.61,2025-12-16
769,Agarwal Children's Hospital,Maharashtra,Mumbai,Mumbai,19.0588838,72.8480068,Private,Tertiary,1067,222,155,Yes,No,No,46,0.22,2025-12-16
770,Parakh Hospital and Research Centre - Ghatkopar,Maharashtra,Mumbai,Mumbai,19.0845459,72.907615,Private,Primary,50,1,0,No,No,No,62,0.85,2025-12-16
771,sanjivani hospital,Maharashtra,Mumbai,Mumbai,19.0726487,72.8443905,Trust,Primary,84,3,2,No,Yes,No,42,0.94,2025-12-16
772,siddiqui,Maharashtra,Mumbai,Mumbai,18.9666988,72.8288189,Government,Secondary,161,14,9,No,No,No,75,0.66,2025-12-16
773,Apollo Hospitals,Maharashtra,Mumbai,Mumbai,18.9232674,72.831386,Trust,Tertiary,450,97,81,Yes,Yes,Yes,39,0.7,2025-12-16
774,Indian Cancer Society,Maharashtra,Mumbai,Mumbai,18.9231434,72.8274992,Trust,Primary,96,3,1,No,No,No,62,0.84,2025-12-16
775,Sattva Pediatric - Dr. Rishabh K. Shah,Maharashtra,Mumbai,Mumbai,18.9899194,72.8414756,Private,Primary,89,4,3,No,Yes,Yes,72,0.66,2025-12-16
776,Auro Skin Clinic,Maharashtra,Mumbai,Mumbai,19.1059731,72.8414741,Government,Primary,84,3,2,No,No,No,57,0.41,2025-12-16
777,goel hospital,Maharashtra,Mumbai,Mumbai,19.1100931,72.8642165,Government,Primary,80,2,1,Yes,No,Yes,84,0.76,2025-12-16
778,Borivali Surgical Hospital LLP,Maharashtra,Mumbai,Mumbai,19.2372069,72.8619335,Private,Secondary,240,22,14,Yes,Yes,No,36,0.19,2025-12-16
779,Sirvi Medical,Maharashtra,Mumbai,Mumbai,19.2068922,72.8185123,Private,Primary,62,2,1,Yes,No,No,78,0.55,2025-12-16
780,Kataria eye clinic,Maharashtra,Mumbai,Mumbai,18.9192257,72.8296146,Trust,Secondary,375,44,32,Yes,No,No,36,0.8,2025-12-16
781,Lilavati Hospital and Research Centre,Maharashtra,Mumbai,Mumbai,19.0509752,72.8291666,Government,Primary,32,1,0,Yes,Yes,Yes,72,0.57,2025-12-16
782,"Holy Family Hospital, Mumbai",Maharashtra,Mumbai,Mumbai,19.0555006,72.8271397,Government,Secondary,278,33,23,No,Yes,No,69,0.98,2025-12-16
783,ब्रीच कँडी हॉस्पिटल,Maharashtra,Mumbai,Mumbai,18.9725946,72.8043143,Trust,Primary,72,3,2,No,No,No,53,0.5,2025-12-16
784,Ruxmani Lying in Hospital,Maharashtra,Mumbai,Mumbai,18.9577305,72.8092739,Private,Primary,93,4,2,Yes,No,No,32,0.42,2025-12-16
785,Karuna Hospital,Maharashtra,Mumbai,Mumbai,19.24121,72.8531301,Government,Tertiary,577,94,57,Yes,No,Yes,84,0.48,2025-12-16
786,Lokmanya Tilak Hospital,Maharashtra,Mumbai,Mumbai,19.0363581,72.8592143,Trust,Primary,30,1,0,Yes,No,Yes,62,0.77,2025-12-16
787,St George Hospital,Maharashtra,Mumbai,Mumbai,18.9406933,72.8378819,Trust,Primary,87,3,2,Yes,Yes,Yes,92,0.86,2025-12-16
788,Saifee Hospital,Maharashtra,Mumbai,Mumbai,18.9525375,72.8181834,Private,Primary,77,2,1,No,No,Yes,37,0.89,2025-12-16
789,Acworth Leper Asylum,Maharashtra,Mumbai,Mumbai,19.020088,72.8587458,Private,Tertiary,797,187,119,Yes,No,Yes,58,0.21,2025-12-16
790,Mahatma Gandhi Memorial Hospital,Maharashtra,Mumbai,Mumbai,18.9970247,72.8420761,Private,Primary,75,1,0,Yes,Yes,Yes,64,0.14,2025-12-16
791,Tata Memorial Cancer Hospital,Maharashtra,Mumbai,Mumbai,19.0056387,72.8430619,Private,Secondary,123,13,10,No,No,Yes,46,0.44,2025-12-16
792,Haffkine Institute,Maharashtra,Mumbai,Mumbai,19.0024414,72.8454114,Trust,Secondary,393,33,21,Yes,No,Yes,67,0.2,2025-12-16
793,Hinduja Clinic,Maharashtra,Mumbai,Mumbai,19.0330728,72.8390982,Private,Secondary,315,30,19,No,Yes,No,64,0.33,2025-12-16
794,Hinduja Hospital,Maharashtra,Mumbai,Mumbai,19.0332293,72.838172,Trust,Tertiary,1093,228,172,No,No,Yes,77,0.81,2025-12-16
795,Aditya Jyot Eye Hospital,Maharashtra,Mumbai,Mumbai,19.0212149,72.8591392,Government,Primary,33,1,0,Yes,No,No,79,0.32,2025-12-16
796,Karbhari,Maharashtra,Mumbai,Mumbai,19.1032381,72.8469796,Government,Secondary,219,24,19,Yes,Yes,Yes,81,0.58,2025-12-16
797,Jaslok Hospital and Research Centre,Maharashtra,Mumbai,Mumbai,18.9715529,72.8099417,Government,Tertiary,731,165,105,Yes,Yes,No,77,0.2,2025-12-16
798,sathya udaiyar,Maharashtra,Mumbai,Mumbai,19.1312135,72.8244738,Private,Primary,39,1,0,Yes,Yes,No,52,0.94,2025-12-16
799,Lalita Girdhar (Hinduja Hospital),Maharashtra,Mumbai,Mumbai,19.0319344,72.8396234,Trust,Secondary,198,18,13,No,Yes,No,76,0.71,2025-12-16
800,Mental Hospital,Maharashtra,Mumbai,Mumbai,19.180721,72.9620299,Trust,Secondary,168,15,10,Yes,No,Yes,55,0.65,2025-12-16
801,BPT Hospital,Maharashtra,Mumbai,Mumbai,19.0129567,72.8614735,Trust,Secondary,235,25,19,Yes,Yes,Yes,61,0.82,2025-12-16
802,Holy Spirit Hospital,Maharashtra,Mumbai,Mumbai,19.1283301,72.8662054,Private,Primary,60,1,0,No,Yes,Yes,48,0.56,2025-12-16
803,Niron Hospital and Research Center,Maharashtra,Mumbai,Mumbai,19.0770327,72.8584642,Government,Tertiary,1132,241,183,No,Yes,No,38,0.42,2025-12-16
804,S.L. Raheja Hospital,Maharashtra,Mumbai,Mumbai,19.0464144,72.842497,Government,Secondary,264,22,17,No,No,Yes,86,0.43,2025-12-16
805,Brihanmumbai Municipalty Hospital,Maharashtra,Mumbai,Mumbai,19.0532693,72.8751999,Government,Tertiary,460,91,72,No,Yes,No,45,0.6,2025-12-16
806,Vimala Dermatological Centra,Maharashtra,Mumbai,Mumbai,19.1378081,72.8094838,Government,Secondary,102,9,7,Yes,No,No,47,0.31,2025-12-16
807,Atmasingh Jassasingh Bankebihar Municipal ENT Hospital,Maharashtra,Mumbai,Mumbai,18.9348027,72.831343,Private,Primary,59,1,0,No,No,No,61,0.4,2025-12-16
808,Willingdon,Maharashtra,Mumbai,Mumbai,18.9428038,72.8298238,Government,Primary,73,1,0,Yes,No,Yes,85,0.12,2025-12-16
809,Bombay Hospital and Medical Research Center,Maharashtra,Mumbai,Mumbai,18.9410106,72.8274254,Private,Secondary,104,9,6,Yes,No,Yes,43,0.69,2025-12-16
810,Cama Hospital,Maharashtra,Mumbai,Mumbai,18.9423641,72.8320971,Government,Secondary,302,30,18,No,No,Yes,68,0.4,2025-12-16
811,गोकुळदास तेजपाल रुग्णालय,Maharashtra,Mumbai,Mumbai,18.9447424,72.8317135,Trust,Primary,82,2,1,No,Yes,No,39,0.94,2025-12-16
812,Dharavi Hospital,Maharashtra,Mumbai,Mumbai,19.0400173,72.8519607,Trust,Primary,34,1,0,Yes,Yes,No,66,0.45,2025-12-16
813,Crtiti Care Asia Hospital,Maharashtra,Mumbai,Mumbai,19.0760113,72.8861368,Trust,Tertiary,881,205,165,No,Yes,Yes,43,0.83,2025-12-16
814,Conwest And Manjula S. Badani Jain Hospital,Maharashtra,Mumbai,Mumbai,18.9547457,72.8210971,Private,Tertiary,826,178,141,No,No,Yes,82,0.31,2025-12-16
815,Sir H. N. Hospital & Research Centre;Sir H.N Reliance foundation hospital,Maharashtra,Mumbai,Mumbai,18.9587707,72.8200485,Private,Secondary,273,30,18,Yes,Yes,Yes,89,0.71,2025-12-16
816,Rajeev Gandhi Medical Centre,Maharashtra,Mumbai,Mumbai,19.0690995,72.9222113,Government,Tertiary,1147,212,168,Yes,No,Yes,84,0.39,2025-12-16
817,Maa General Hospital,Maharashtra,Mumbai,Mumbai,19.0619828,72.8964972,Private,Primary,53,1,0,Yes,Yes,No,35,0.7,2025-12-16
818,Phoenix Hospital,Maharashtra,Mumbai,Mumbai,19.2195234,72.8381083,Government,Secondary,277,27,16,No,Yes,No,84,0.85,2025-12-16
819,Dr. L. H. Hiranandani Hospital,Maharashtra,Mumbai,Mumbai,19.1202792,72.9170511,Private,Primary,97,2,1,Yes,No,No,85,0.5,2025-12-16
820,City Hospital and Reserch Centre,Maharashtra,Mumbai,Mumbai,19.0810411,72.8819647,Private,Tertiary,867,165,120,Yes,Yes,Yes,67,0.57,2025-12-16
821,Apollo Spectra Hospitals,Maharashtra,Mumbai,Mumbai,18.9703476,72.8146181,Government,Secondary,291,24,15,Yes,No,No,31,0.81,2025-12-16
822,Sanjeevni hospital,Maharashtra,Mumbai,Mumbai,19.0277958,72.8682934,Private,Secondary,229,22,15,No,No,No,52,0.4,2025-12-16
823,M. M Medicial Clinic and OPD,Maharashtra,Mumbai,Mumbai,19.2486442,72.8503135,Trust,Primary,47,1,0,Yes,Yes,Yes,95,0.37,2025-12-16
824,Ashoka General Hospital I.C.C.U and Maternity Home,Maharashtra,Mumbai,Mumbai,19.1818054,72.8531138,Private,Secondary,366,41,28,No,No,Yes,64,0.26,2025-12-16
825,Maru Hospital,Maharashtra,Mumbai,Mumbai,18.9982979,72.8370238,Trust,Secondary,335,30,21,Yes,No,Yes,55,0.37,2025-12-16
826,Aniket Nursing Home,Maharashtra,Mumbai,Mumbai,19.130419,72.9348252,Private,Primary,90,2,1,No,Yes,No,55,0.28,2025-12-16
827,Balaji Hospital,Maharashtra,Mumbai,Mumbai,18.9772369,72.8353539,Government,Primary,57,2,1,Yes,No,No,61,0.4,2025-12-16
828,janhavi nursing home,Maharashtra,Mumbai,Mumbai,19.1844554,72.8424964,Trust,Tertiary,955,165,103,Yes,No,No,45,0.88,2025-12-16
829,Kaizen Quro,Maharashtra,Mumbai,Mumbai,19.0784105,72.8550064,Government,Primary,63,2,1,Yes,No,No,36,0.69,2025-12-16
831,umerkhadi hospital,Maharashtra,Mumbai,Mumbai,18.9613939,72.8365872,Trust,Primary,31,1,0,Yes,Yes,No,72,0.9,2025-12-16
832,Gokul maternity and Surgical home,Maharashtra,Mumbai,Mumbai,19.1213413,72.8794797,Trust,Primary,79,3,2,No,No,Yes,63,0.59,2025-12-16
833,The Vein Center Andheri,Maharashtra,Mumbai,Mumbai,19.1206672,72.8794127,Government,Tertiary,933,158,106,Yes,Yes,Yes,43,0.41,2025-12-16
834,smriti narvekar,Maharashtra,Mumbai,Mumbai,19.0314175,72.8439961,Private,Tertiary,1016,197,133,Yes,No,No,53,0.67,2025-12-16
835,The Vein Center Mumbai,Maharashtra,Mumbai,Mumbai,19.0685659,72.8370266,Government,Tertiary,697,154,99,No,No,No,38,0.93,2025-12-16
836,Thunga,Maharashtra,Mumbai,Mumbai,19.1211115,72.8269407,Government,Secondary,336,38,27,No,Yes,No,48,0.51,2025-12-16
837,Shatabdi Hospital,Maharashtra,Mumbai,Mumbai,19.0495692,72.9111283,Trust,Primary,50,2,1,No,No,Yes,75,0.82,2025-12-16
838,K B H B Charitable Ophthalmic and E.N.T Hospital,Maharashtra,Mumbai,Mumbai,19.0023334,72.8404665,Government,Secondary,187,17,12,No,No,No,50,0.52,2025-12-16
839,Dr. Babasaheb Ambedkar Memorial Central Railway Hospital,Maharashtra,Mumbai,Mumbai,18.9801469,72.8335812,Government,Secondary,223,21,15,No,No,No,92,0.97,2025-12-16
840,Asian Heart Institute,Maharashtra,Mumbai,Mumbai,19.0652503,72.8609116,Private,Primary,91,2,1,Yes,Yes,Yes,82,0.26,2025-12-16
841,"Godrej Memorial Hospital, Mumbai",Maharashtra,Mumbai,Mumbai,19.1041614,72.9278845,Government,Secondary,392,46,35,Yes,Yes,Yes,56,0.87,2025-12-16
842,Hindu Hruday Samrat Balasaheb Thackerey Trauma Care Municipal Hospital,Maharashtra,Mumbai,Mumbai,19.1409344,72.8536704,Trust,Secondary,240,26,19,No,Yes,No,89,0.61,2025-12-16
843,Nowrosjee Wadia Maternity Hospital,Maharashtra,Mumbai,Mumbai,19.0036051,72.8423727,Private,Primary,73,2,1,Yes,Yes,No,71,0.92,2025-12-16
844,Fortis Hospitals,Maharashtra,Mumbai,Mumbai,19.1616415,72.9416536,Trust,Secondary,164,16,13,No,No,Yes,92,0.19,2025-12-16
845,ESIS Hospital,Maharashtra,Mumbai,Mumbai,19.1801381,72.9440125,Private,Secondary,387,30,19,Yes,Yes,No,70,0.74,2025-12-16
846,Aarey Hospital,Maharashtra,Mumbai,Mumbai,19.1474816,72.8759328,Government,Secondary,320,32,24,No,No,No,55,0.66,2025-12-16
847,V.D. SAWARKAR HOSPITAL,Maharashtra,Mumbai,Mumbai,19.1716893,72.9603673,Government,Primary,46,1,0,Yes,No,Yes,67,0.96,2025-12-16
848,K B Bhabha Municipal General Hospital,Maharashtra,Mumbai,Mumbai,19.0573835,72.8334479,Trust,Secondary,143,12,9,No,No,Yes,66,0.31,2025-12-16
849,Aditi Hospital,Maharashtra,Mumbai,Mumbai,19.1719389,72.9486587,Private,Secondary,223,23,14,No,No,Yes,44,0.22,2025-12-16
850,Hira-Mongi Navneet Hospital,Maharashtra,Mumbai,Mumbai,19.1709254,72.95022,Government,Secondary,235,21,13,No,No,Yes,53,0.31,2025-12-16
851,IIT Hospital,Maharashtra,Mumbai,Mumbai,19.130755,72.91424,Government,Tertiary,1136,192,126,Yes,Yes,Yes,30,0.27,2025-12-16
852,J. J. Hospital,Maharashtra,Mumbai,Mumbai,18.9638278,72.834781,Trust,Secondary,118,9,7,Yes,No,Yes,42,0.53,2025-12-16
853,School of Medical Assistants,Maharashtra,Mumbai,Mumbai,18.8994331,72.8139031,Trust,Secondary,391,43,32,No,No,No,88,0.55,2025-12-16
854,Yashada Maternity and Nursing Home,Maharashtra,Mumbai,Mumbai,19.1662026,72.8543576,Government,Secondary,198,19,12,Yes,Yes,Yes,94,0.28,2025-12-16
855,Nirali A M Naik Charitable Health-Care Facility,Maharashtra,Mumbai,Mumbai,19.1211674,72.8914389,Government,Secondary,295,32,20,No,No,Yes,35,0.81,2025-12-16
856,Apollo Spectra Hospital,Maharashtra,Mumbai,Mumbai,19.0472069,72.911156,Trust,Tertiary,577,130,87,No,No,No,79,0.86,2025-12-16
857,K.J. Somaiya Hospital and Research Centre,Maharashtra,Mumbai,Mumbai,19.0470721,72.8749269,Private,Secondary,103,10,7,Yes,No,Yes,94,0.24,2025-12-16
858,Municipal TB Hospital,Maharashtra,Mumbai,Mumbai,19.006805,72.8523608,Trust,Tertiary,1044,163,138,Yes,No,Yes,79,0.24,2025-12-16
859,Jagjivan Ram Hospital,Maharashtra,Mumbai,Mumbai,18.9704307,72.824078,Trust,Secondary,145,17,14,No,No,No,34,0.52,2025-12-16
860,Khubchandani Hospital,Maharashtra,Mumbai,Mumbai,19.1193703,72.8353776,Trust,Primary,78,3,2,No,No,Yes,39,0.73,2025-12-16
861,Shushrusha Hospital,Maharashtra,Mumbai,Mumbai,19.1121272,72.9346182,Trust,Secondary,106,10,6,Yes,No,No,55,0.13,2025-12-16
862,Sushrut Hospital and Research Centre,Maharashtra,Mumbai,Mumbai,19.056571,72.8894464,Private,Primary,59,1,0,Yes,No,Yes,58,0.52,2025-12-16
863,Shivaji Nagar Muncipal Hospital,Maharashtra,Mumbai,Mumbai,19.0629978,72.9190154,Government,Secondary,340,38,25,Yes,Yes,Yes,84,0.31,2025-12-16
864,Guru Nanak Hospital,Maharashtra,Mumbai,Mumbai,19.0594902,72.8526767,Trust,Tertiary,403,68,46,Yes,Yes,No,31,0.56,2025-12-16
865,The B.D.Petit Parsee General Hospital,Maharashtra,Mumbai,Mumbai,18.968823,72.8056228,Government,Primary,70,3,2,Yes,Yes,No,76,0.2,2025-12-16
866,Dr.Babasaheb Ambedkar Bmc General Hospital,Maharashtra,Mumbai,Mumbai,19.2086595,72.8515971,Government,Primary,42,1,0,Yes,Yes,No,74,0.51,2025-12-16
867,Ayurseva Hospital,Maharashtra,Mumbai,Mumbai,19.0434342,72.8498402,Trust,Primary,80,2,1,No,Yes,Yes,84,0.54,2025-12-16
868,Lifelline,Maharashtra,Mumbai,Mumbai,19.2071326,72.8181969,Private,Primary,84,2,1,No,Yes,Yes,59,0.89,2025-12-16
869,Women's Hospital,Maharashtra,Mumbai,Mumbai,19.0694023,72.8306534,Government,Primary,46,1,0,Yes,No,Yes,45,0.5,2025-12-16
870,jansava hospital,Maharashtra,Mumbai,Mumbai,19.0795422,72.9215855,Government,Primary,62,2,1,Yes,Yes,Yes,32,0.36,2025-12-16
871,INHS Asvini Naval Hospital,Maharashtra,Mumbai,Mumbai,18.9002886,72.8149353,Trust,Primary,40,1,0,Yes,No,Yes,78,0.5,2025-12-16
872,Masina Hospital,Maharashtra,Mumbai,Mumbai,18.9746049,72.8355792,Government,Tertiary,1156,232,180,Yes,No,No,67,0.97,2025-12-16
873,"Wockhardt Hospitals, South Mumbai",Maharashtra,Mumbai,Mumbai,18.9752098,72.8239654,Trust,Primary,70,3,1,No,No,No,82,0.3,2025-12-16
874,NH SRCC Children's Hospital,Maharashtra,Mumbai,Mumbai,18.9790957,72.8127975,Government,Tertiary,954,181,136,Yes,No,Yes,38,0.94,2025-12-16
875,Sarvodaya Hospital,Maharashtra,Mumbai,Mumbai,19.0901629,72.9067701,Private,Secondary,192,20,16,Yes,No,Yes,33,0.7,2025-12-16
876,Head And Neck Cancer Institute Of India,Maharashtra,Mumbai,Mumbai,18.9702768,72.845704,Private,Primary,62,2,1,No,No,Yes,81,0.17,2025-12-16
877,Government Hospita,Maharashtra,Mumbai,Mumbai,19.1854369,72.819154,Trust,Secondary,388,33,27,Yes,No,Yes,58,0.75,2025-12-16
878,Upasani Super Speciality Hospital,Maharashtra,Mumbai,Mumbai,19.1745535,72.9424707,Government,Secondary,317,29,19,Yes,Yes,Yes,38,0.94,2025-12-16
879,Asian,Maharashtra,Mumbai,Mumbai,19.0652503,72.8609116,Private,Secondary,324,27,17,No,No,Yes,68,0.94,2025-12-16
880,King George V Infimary,Maharashtra,Mumbai,Mumbai,18.9886387,72.8231976,Private,Primary,59,2,1,No,Yes,No,35,0.73,2025-12-16
881,V.N. Desai Hospital,Maharashtra,Mumbai,Mumbai,19.0787355,72.845098,Government,Tertiary,1020,254,153,No,Yes,No,85,0.19,2025-12-16
882,Mangal nursing home,Maharashtra,Mumbai,Mumbai,19.0834445,72.8394976,Private,Secondary,128,10,7,Yes,Yes,Yes,54,0.9,2025-12-16
883,hehehe,Maharashtra,Mumbai,Mumbai,19.1105176,72.8420431,Trust,Secondary,230,27,22,Yes,No,Yes,77,0.88,2025-12-16
884,Sardar Patel Cantonment General Hospital,Maharashtra,Pune,Pune,18.5027163,73.87712,Private,Primary,55,2,1,Yes,Yes,Yes,42,0.67,2025-12-16
885,Dr. Babasaheb Ambedkar Cantonment General Hospital,Maharashtra,Pune,Pune,18.569025,73.8486994,Private,Tertiary,995,160,130,Yes,Yes,Yes,93,0.88,2025-12-16
886,Command Hospital Southern Command,Maharashtra,Pune,Pune,18.5005828,73.8894328,Trust,Primary,55,2,1,No,Yes,No,32,0.86,2025-12-16
887,Sassoon Hospital,Maharashtra,Pune,Pune,18.5251434,73.8695664,Government,Tertiary,885,135,114,Yes,Yes,Yes,37,0.29,2025-12-16
888,Sanjeevani Vitalife Medipoint Hospital,Maharashtra,Pune,Pune,18.5649263,73.8022626,Private,Secondary,313,26,16,Yes,Yes,No,51,0.58,2025-12-16
889,LifeLine Hospital,Maharashtra,Pune,Pune,18.5597445,73.8062674,Trust,Secondary,350,28,21,No,No,Yes,61,0.49,2025-12-16
890,Dr. Chowdhary,Maharashtra,Pune,Pune,18.5547291,73.8082012,Trust,Primary,90,3,2,No,Yes,Yes,49,0.58,2025-12-16
891,Dr. Bonagiri,Maharashtra,Pune,Pune,18.5554816,73.8088556,Trust,Secondary,331,31,25,No,Yes,Yes,57,0.27,2025-12-16
